           1.5k	1	R601
          100nF	17	C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C301
           100R	4	R201, R202, R203, R204
            10K	2	R205, R208
           15pF	2	C602, C603
           330R	5	R206, R207, R209, R210, R401
           33pF	1	C601
            39R	2	R602, R603
     ADC081C021	1	U301
     AP1122_1.2	1	U402
     AP1122_3.3	1	U401
        CONN_25	2	P701, P702
        DAC5311	1	U403
        FT232RL	1	U501
       FXO-HC73	1	OSC301
            LED	5	D201, D202, D203, D204, D401
         M25PXX	1	U202
       MINI-USB	1	X601
         SPULSE	2	SW201, SW202
  XC3S50A-VQ100	1	U201
		
		
		
		
		
	QTN	PART
	1	IC DAC 8BIT 1CH LP SC70-6
	1	IC FPGA SPARTAN-3A 50K 100-VQFP
	1	RES 1.5K OHM 1/10W 5% 0603 SMD
	17	CAP CER 0.1UF 16V 10% X7R 0603
	4	RES 100 OHM 1/10W 5% 0603 SMD
	2	RES 10K OHM 1/10W 5% 0603 SMD
	2	CAP CER 15PF 50V 5% NP0 0603
	5	RES 300 OHM 1/10W 5% 0603 SMD
	1	CAP CER 33PF 50V 5% NP0 0805
	2	RES 39 OHM 1/10W 5% 0603 SMD
	1	IC ADC 8BIT I2C 188KSPS TSOT23-6
	1	IC REG LDO ADJ 1A SOT-223
	1	IC REG LDO 3.3V 1A SOT-223
	1	OSCILLATOR 50.0 MHZ 3.3V SMD
	5	LED CHIPLED 570NM GREEN 0805 SMD
	1	IC FLASH 1MBIT 50MHZ 8SOIC
	1	CONN USB MINI B R/A SMD
